id_vaca;id_toro;id_cria;celulas_somaticas;produccion_leche;calidad_patas;calidad_ubres;grasa;proteinas;cs_vaca;pl_vaca;pa_vaca;u_vaca;g_vaca;pr_vaca;cs_toro;pl_toro;pa_toro;u_toro;g_toro;pr_toro
V-140;T-7;C-2592;50000.0;55.34;6.13;5.75;3.14;3.69;419736.0;26.43;5.45;8.28;2.84;3.23;-1.12;1.07;6.13;3.79;0.46;0.13
V-471;T-7;C-2593;50000.0;61.99;3.5;2.89;4.18;3.92;142106.0;31.21;1.53;1.72;3.49;4.0;-1.12;1.07;6.13;3.79;0.46;0.13
V-472;T-14;C-2594;640259.0;0.0;5.47;3.23;3.83;3.46;364669.0;0.0;3.26;2.71;3.59;3.68;0.71;3.14;8.11;4.35;0.13;0.13
V-103;T-6;C-2595;50000.0;275.18;3.21;3.46;3.85;3.68;50000.0;62.14;4.14;1.42;3.49;3.42;-1.81;3.91;1.76;5.19;0.06;0.16
V-424;T-5;C-2596;50000.0;107.41;3.0;5.03;3.61;2.8;286246.0;39.14;3.13;1.05;3.72;2.8;-2.31;1.68;2.5;8.56;0.15;0.03
V-401;T-11;C-2597;53832.0;186.23;6.75;6.16;2.98;3.03;238744.0;39.19;6.59;4.19;3.01;3.28;-0.75;3.81;6.49;8.09;-0.02;0.07
V-335;T-11;C-2598;50000.0;109.15;7.56;4.48;3.48;3.7;50000.0;24.42;7.95;1.53;3.8;3.72;-0.75;3.81;6.49;8.09;-0.02;0.07
V-465;T-9;C-2599;121177.0;0.0;5.1;5.84;3.76;3.62;50000.0;0.0;4.4;5.88;3.57;3.71;1.21;0.8;6.51;5.35;0.25;0.14
V-550;T-11;C-2600;50000.0;156.63;5.84;7.23;3.24;3.06;50000.0;32.79;5.06;6.68;3.53;3.19;-0.75;3.81;6.49;8.09;-0.02;0.07
V-376;T-9;C-2601;774559.0;0.0;7.73;3.17;3.61;3.63;358729.0;0.0;8.68;1.66;3.38;3.17;1.21;0.8;6.51;5.35;0.25;0.14
V-227;T-15;C-2602;62017.0;185.51;6.01;3.68;3.92;3.57;50000.0;44.22;4.37;4.38;4.08;3.26;0.26;3.14;8.77;2.53;0.09;0.22
V-72;T-1;C-2603;422117.0;11.29;6.27;6.54;3.33;3.78;258987.0;62.34;7.89;7.24;3.44;4.0;0.63;-0.82;3.77;6.26;-0.05;0.11
V-165;T-11;C-2604;50000.0;23.61;4.23;7.93;2.97;3.24;58279.0;4.57;1.28;6.66;3.0;3.34;-0.75;3.81;6.49;8.09;-0.02;0.07
V-121;T-5;C-2605;50000.0;88.88;4.17;7.31;2.76;3.88;68598.0;30.3;6.68;7.34;2.5;3.5;-2.31;1.68;2.5;8.56;0.15;0.03
V-629;T-8;C-2606;557181.0;0.0;6.52;4.3;2.65;3.31;151331.0;0.0;4.94;6.75;2.84;3.23;2.96;-1.56;7.53;1.73;0.03;0.08
V-634;T-14;C-2607;1122588.0;133.26;5.92;5.89;4.42;3.15;617144.0;34.38;4.59;7.18;4.31;3.37;0.71;3.14;8.11;4.35;0.13;0.13
V-221;T-5;C-2608;50000.0;0.0;5.14;5.38;3.68;3.54;114027.0;0.0;8.46;2.42;3.49;3.88;-2.31;1.68;2.5;8.56;0.15;0.03
V-87;T-7;C-2609;50000.0;123.44;5.59;6.57;3.9;3.4;139821.0;55.16;5.9;8.91;3.28;3.13;-1.12;1.07;6.13;3.79;0.46;0.13
V-577;T-1;C-2610;487858.0;3.82;4.31;7.64;3.38;4.0;285106.0;20.99;5.06;8.84;3.19;3.92;0.63;-0.82;3.77;6.26;-0.05;0.11
V-333;T-3;C-2611;2000000.0;62.82;8.12;7.71;4.35;4.0;530707.0;28.54;7.31;7.7;4.41;3.79;2.74;1.31;8.27;7.23;0.26;0.13
V-139;T-1;C-2612;81674.0;4.19;3.7;7.29;3.91;3.24;50000.0;25.16;3.71;7.68;4.14;3.28;0.63;-0.82;3.77;6.26;-0.05;0.11
V-266;T-3;C-2613;364724.0;40.83;7.24;5.64;3.57;3.2;90257.0;18.37;5.37;4.44;3.49;2.98;2.74;1.31;8.27;7.23;0.26;0.13
V-63;T-10;C-2614;343791.0;34.88;1.81;4.12;3.79;3.52;277242.0;31.17;1.26;2.05;3.35;3.51;0.3;0.02;2.17;5.74;0.32;0.07
V-520;T-2;C-2615;66914.0;115.61;4.03;3.26;3.43;3.54;165180.0;45.19;5.18;5.12;3.3;3.62;-0.55;1.58;3.15;1.45;0.32;0.02
V-506;T-8;C-2616;842385.0;0.0;5.78;3.89;3.65;3.03;228397.0;3.67;4.31;6.18;3.93;3.25;2.96;-1.56;7.53;1.73;0.03;0.08
V-475;T-5;C-2617;50000.0;0.0;1.93;6.95;3.63;4.0;50000.0;0.0;1.44;6.79;3.6;4.0;-2.31;1.68;2.5;8.56;0.15;0.03
V-130;T-15;C-2618;516993.0;444.16;5.73;2.99;3.39;3.8;381802.0;98.45;2.98;3.18;3.54;4.0;0.26;3.14;8.77;2.53;0.09;0.22
V-513;T-9;C-2619;766005.0;65.32;6.7;3.3;2.51;3.27;320637.0;36.31;6.15;1.72;2.5;3.21;1.21;0.8;6.51;5.35;0.25;0.14
V-242;T-4;C-2620;50000.0;7.35;6.27;2.64;4.04;3.25;50000.0;21.04;4.76;2.71;3.22;3.53;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-39;T-7;C-2621;50000.0;5.75;5.29;5.07;3.36;3.73;293690.0;2.53;5.41;7.27;3.08;3.66;-1.12;1.07;6.13;3.79;0.46;0.13
V-320;T-6;C-2622;50000.0;241.89;3.58;4.34;3.33;3.89;347264.0;49.49;5.18;3.69;3.5;3.78;-1.81;3.91;1.76;5.19;0.06;0.16
V-358;T-15;C-2623;63686.0;197.1;7.05;1.73;3.46;4.0;50000.0;47.97;5.29;1.03;3.59;3.59;0.26;3.14;8.77;2.53;0.09;0.22
V-497;T-2;C-2624;50000.0;37.66;5.32;2.69;3.64;3.73;50000.0;13.76;7.94;3.57;3.18;4.0;-0.55;1.58;3.15;1.45;0.32;0.02
V-505;T-15;C-2625;487846.0;9.56;4.75;5.57;3.05;4.0;408870.0;2.22;1.4;8.42;3.05;3.83;0.26;3.14;8.77;2.53;0.09;0.22
V-481;T-1;C-2626;613298.0;3.3;4.68;4.46;3.56;4.0;370534.0;18.69;5.96;3.36;3.58;4.0;0.63;-0.82;3.77;6.26;-0.05;0.11
V-446;T-15;C-2627;102436.0;81.37;5.0;5.21;3.67;4.0;82253.0;20.1;1.79;7.44;3.43;4.0;0.26;3.14;8.77;2.53;0.09;0.22
V-131;T-14;C-2628;492023.0;179.27;6.6;2.69;3.95;3.58;270422.0;42.15;5.45;1.07;3.59;3.66;0.71;3.14;8.11;4.35;0.13;0.13
V-395;T-15;C-2629;156689.0;170.31;8.24;3.75;4.17;3.2;136368.0;37.76;7.23;5.43;3.76;3.16;0.26;3.14;8.77;2.53;0.09;0.22
V-628;T-13;C-2630;105583.0;0.0;5.99;7.68;4.94;3.86;50000.0;0.0;7.73;6.44;4.5;3.37;1.15;-2.01;3.84;7.61;0.12;0.4
V-542;T-3;C-2631;1039298.0;71.97;5.66;5.79;3.39;3.43;260314.0;28.85;3.05;5.59;2.89;3.48;2.74;1.31;8.27;7.23;0.26;0.13
V-527;T-2;C-2632;100755.0;117.74;2.58;3.5;4.84;4.0;240852.0;42.66;1.67;6.15;5.02;3.82;-0.55;1.58;3.15;1.45;0.32;0.02
V-294;T-1;C-2633;446026.0;9.89;5.1;6.08;3.1;3.21;294298.0;56.47;6.43;4.79;2.97;3.11;0.63;-0.82;3.77;6.26;-0.05;0.11
V-496;T-14;C-2634;647397.0;122.75;6.27;3.75;4.04;3.67;405626.0;30.55;3.9;2.84;3.8;3.41;0.71;3.14;8.11;4.35;0.13;0.13
V-296;T-5;C-2635;50000.0;105.93;3.48;6.43;2.5;3.68;60862.0;36.79;4.04;3.64;2.5;3.54;-2.31;1.68;2.5;8.56;0.15;0.03
V-91;T-3;C-2636;2000000.0;130.51;8.77;7.83;3.71;3.66;672911.0;57.88;8.18;7.8;3.2;3.79;2.74;1.31;8.27;7.23;0.26;0.13
V-141;T-10;C-2637;194076.0;49.93;2.75;5.55;3.4;3.38;136325.0;50.91;3.91;6.5;2.91;3.52;0.3;0.02;2.17;5.74;0.32;0.07
V-231;T-15;C-2638;64857.0;42.86;4.88;2.57;4.08;3.64;50000.0;10.14;1.85;2.92;3.73;3.37;0.26;3.14;8.77;2.53;0.09;0.22
V-490;T-4;C-2639;88323.0;10.31;6.56;4.26;4.52;3.69;119599.0;28.99;7.15;6.37;4.14;3.46;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-334;T-7;C-2640;50000.0;44.56;4.92;4.82;4.39;3.65;50000.0;20.41;3.04;6.9;3.56;3.28;-1.12;1.07;6.13;3.79;0.46;0.13
V-6;T-6;C-2641;50000.0;345.67;3.18;6.13;3.52;4.0;244569.0;72.48;4.47;8.26;3.44;3.78;-1.81;3.91;1.76;5.19;0.06;0.16
V-78;T-9;C-2642;625133.0;97.2;6.92;6.53;3.13;3.28;288459.0;49.43;8.19;6.86;2.68;3.01;1.21;0.8;6.51;5.35;0.25;0.14
V-134;T-10;C-2643;70026.0;13.38;4.78;5.32;3.4;3.74;50000.0;13.49;7.29;4.07;3.35;3.55;0.3;0.02;2.17;5.74;0.32;0.07
V-437;T-9;C-2644;460513.0;74.48;5.69;5.13;2.7;3.64;194352.0;40.52;4.78;4.15;2.62;3.55;1.21;0.8;6.51;5.35;0.25;0.14
V-75;T-1;C-2645;472795.0;6.24;5.17;4.23;2.67;3.56;284226.0;36.21;6.59;2.63;2.93;3.62;0.63;-0.82;3.77;6.26;-0.05;0.11
V-562;T-2;C-2646;112610.0;11.47;5.78;1.99;4.41;4.0;241733.0;4.14;7.36;2.78;4.0;4.0;-0.55;1.58;3.15;1.45;0.32;0.02
V-510;T-5;C-2647;50000.0;133.76;3.64;8.34;4.11;3.44;130329.0;49.92;5.02;8.09;3.59;3.74;-2.31;1.68;2.5;8.56;0.15;0.03
V-394;T-8;C-2648;1420600.0;0.0;5.46;5.19;4.53;3.01;389261.0;0.0;3.6;7.85;4.36;2.81;2.96;-1.56;7.53;1.73;0.03;0.08
V-399;T-1;C-2649;88176.0;5.63;3.46;3.66;3.43;3.07;50000.0;30.19;3.79;1.58;3.55;3.07;0.63;-0.82;3.77;6.26;-0.05;0.11
V-250;T-6;C-2650;50000.0;96.51;5.19;6.85;3.28;3.54;465278.0;20.3;7.84;8.14;3.04;3.38;-1.81;3.91;1.76;5.19;0.06;0.16
V-280;T-1;C-2651;599079.0;2.94;5.04;5.24;3.44;4.0;403033.0;17.11;7.09;4.37;3.25;3.64;0.63;-0.82;3.77;6.26;-0.05;0.11
V-124;T-5;C-2652;50000.0;65.03;2.71;8.08;3.3;4.0;297814.0;23.34;3.51;7.84;3.03;3.62;-2.31;1.68;2.5;8.56;0.15;0.03
V-316;T-15;C-2653;223192.0;220.75;6.75;1.99;4.01;4.0;192100.0;53.42;3.54;1.65;3.83;3.84;0.26;3.14;8.77;2.53;0.09;0.22
V-166;T-12;C-2654;59218.0;18.54;7.83;5.19;3.86;4.0;50000.0;51.55;8.82;4.57;3.9;3.95;0.12;-0.63;8.5;6.2;0.0;0.11
V-330;T-15;C-2655;68074.0;71.5;7.63;2.42;2.77;3.35;50000.0;19.04;7.38;2.2;2.67;3.14;0.26;3.14;8.77;2.53;0.09;0.22
V-25;T-10;C-2656;93037.0;26.79;2.87;5.76;3.54;4.0;73867.0;29.0;3.38;5.72;2.91;3.8;0.3;0.02;2.17;5.74;0.32;0.07
V-181;T-12;C-2657;374997.0;7.49;7.87;5.64;3.11;3.06;339824.0;22.17;6.83;4.13;3.14;3.13;0.12;-0.63;8.5;6.2;0.0;0.11
V-302;T-3;C-2658;170910.0;124.7;8.53;5.47;3.67;4.0;50000.0;51.28;8.33;3.04;3.37;4.0;2.74;1.31;8.27;7.23;0.26;0.13
V-328;T-11;C-2659;50000.0;209.65;6.32;6.75;3.04;3.19;172762.0;47.23;5.11;6.66;2.78;3.22;-0.75;3.81;6.49;8.09;-0.02;0.07
V-281;T-5;C-2660;50000.0;76.96;4.26;5.21;4.34;3.28;164335.0;27.81;5.69;2.36;4.2;3.49;-2.31;1.68;2.5;8.56;0.15;0.03
V-119;T-2;C-2661;143259.0;107.2;2.84;3.99;3.11;2.93;318919.0;42.6;2.3;7.02;2.93;3.14;-0.55;1.58;3.15;1.45;0.32;0.02
V-547;T-6;C-2662;50000.0;0.0;2.88;3.3;3.47;2.9;161911.0;0.0;4.53;1.12;3.66;2.95;-1.81;3.91;1.76;5.19;0.06;0.16
V-425;T-2;C-2663;122601.0;51.72;4.86;2.38;3.68;3.02;290113.0;20.72;7.41;3.26;3.28;3.04;-0.55;1.58;3.15;1.45;0.32;0.02
V-408;T-6;C-2664;50000.0;194.56;4.76;6.35;3.25;3.69;381278.0;38.64;7.63;8.61;2.99;3.81;-1.81;3.91;1.76;5.19;0.06;0.16
V-136;T-4;C-2665;93393.0;4.62;4.87;4.57;4.33;3.92;132431.0;11.96;2.08;7.02;3.49;3.7;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-447;T-15;C-2666;188680.0;18.07;5.7;5.09;3.42;3.63;146924.0;4.78;2.52;6.88;3.46;3.36;0.26;3.14;8.77;2.53;0.09;0.22
V-380;T-7;C-2667;50000.0;87.61;5.65;3.16;3.33;4.0;50000.0;46.24;5.05;2.07;2.91;3.69;-1.12;1.07;6.13;3.79;0.46;0.13
V-203;T-11;C-2668;80306.0;354.35;5.58;7.27;4.05;2.8;304796.0;69.93;5.48;6.97;4.29;2.85;-0.75;3.81;6.49;8.09;-0.02;0.07
V-569;T-8;C-2669;1730077.0;0.0;5.61;3.92;3.02;2.8;417168.0;55.01;3.62;6.52;2.73;2.8;2.96;-1.56;7.53;1.73;0.03;0.08
V-310;T-10;C-2670;239313.0;7.55;3.65;6.27;2.54;3.66;190184.0;8.21;5.02;7.78;2.5;3.99;0.3;0.02;2.17;5.74;0.32;0.07
V-638;T-7;C-2671;50000.0;77.53;6.81;4.2;3.78;3.26;209927.0;40.06;6.84;4.33;3.16;3.06;-1.12;1.07;6.13;3.79;0.46;0.13
V-621;T-7;C-2672;50000.0;127.55;4.81;3.95;3.4;3.68;172228.0;61.17;4.03;4.69;3.05;3.73;-1.12;1.07;6.13;3.79;0.46;0.13
V-443;T-2;C-2673;50000.0;109.33;3.49;3.56;3.78;3.56;50000.0;43.55;3.32;6.15;3.78;3.76;-0.55;1.58;3.15;1.45;0.32;0.02
V-627;T-13;C-2674;199965.0;0.0;5.61;6.03;3.32;4.0;88709.0;92.78;7.02;3.6;3.55;3.88;1.15;-2.01;3.84;7.61;0.12;0.4
V-457;T-5;C-2675;50000.0;0.0;4.35;7.17;3.49;3.65;290495.0;0.0;5.5;6.28;3.31;3.71;-2.31;1.68;2.5;8.56;0.15;0.03
V-112;T-11;C-2676;50000.0;0.0;5.56;5.73;3.95;4.0;79112.0;0.0;4.25;2.73;3.81;3.87;-0.75;3.81;6.49;8.09;-0.02;0.07
V-518;T-7;C-2677;50000.0;74.31;4.77;5.67;3.98;3.13;194268.0;35.62;3.08;7.1;3.81;3.15;-1.12;1.07;6.13;3.79;0.46;0.13
V-524;T-6;C-2678;50000.0;148.15;3.42;3.27;3.82;3.27;98157.0;31.6;5.37;1.14;3.95;2.96;-1.81;3.91;1.76;5.19;0.06;0.16
V-94;T-11;C-2679;50000.0;18.4;5.63;6.09;2.95;3.15;180313.0;3.74;5.39;4.96;3.18;2.86;-0.75;3.81;6.49;8.09;-0.02;0.07
V-267;T-9;C-2680;115176.0;55.0;5.9;5.89;2.93;3.83;50000.0;29.35;5.77;6.34;2.66;3.48;1.21;0.8;6.51;5.35;0.25;0.14
V-653;T-4;C-2681;54980.0;14.69;6.51;3.57;4.34;3.77;81543.0;37.3;4.75;3.54;3.55;3.52;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-414;T-6;C-2682;50000.0;71.41;4.93;5.68;3.46;4.0;62199.0;14.99;8.43;5.54;3.65;4.0;-1.81;3.91;1.76;5.19;0.06;0.16
V-628;T-3;C-2683;172918.0;0.0;8.36;6.55;4.51;3.37;50000.0;0.0;7.73;6.44;4.5;3.37;2.74;1.31;8.27;7.23;0.26;0.13
V-422;T-12;C-2684;303568.0;7.44;7.29;5.93;3.43;3.48;246589.0;18.35;5.0;6.29;3.23;3.49;0.12;-0.63;8.5;6.2;0.0;0.11
V-604;T-4;C-2685;270329.0;0.0;4.31;3.59;3.73;3.57;420800.0;0.0;1.56;4.69;3.41;3.38;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-285;T-7;C-2686;50000.0;103.41;5.49;4.48;3.34;4.0;286612.0;47.0;4.27;5.33;2.81;3.79;-1.12;1.07;6.13;3.79;0.46;0.13
V-564;T-1;C-2687;336352.0;9.29;4.58;3.86;3.98;3.7;221090.0;48.28;6.2;1.18;3.84;3.65;0.63;-0.82;3.77;6.26;-0.05;0.11
V-298;T-12;C-2688;428203.0;21.93;6.68;4.24;3.62;3.97;424626.0;55.88;4.67;2.89;3.73;3.81;0.12;-0.63;8.5;6.2;0.0;0.11
V-373;T-2;C-2689;50000.0;149.08;3.74;1.47;3.72;3.29;50000.0;54.77;3.78;1.59;3.18;3.16;-0.55;1.58;3.15;1.45;0.32;0.02
V-525;T-1;C-2690;148207.0;5.91;3.26;5.13;3.56;3.78;92603.0;35.19;2.51;4.97;3.89;3.59;0.63;-0.82;3.77;6.26;-0.05;0.11
V-36;T-4;C-2691;372932.0;23.93;7.76;2.35;4.07;3.57;520488.0;70.41;8.84;1.91;3.37;3.76;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-586;T-1;C-2692;185747.0;10.72;4.07;4.58;3.18;3.11;117849.0;54.4;4.09;2.19;3.38;2.99;0.63;-0.82;3.77;6.26;-0.05;0.11
V-159;T-14;C-2693;91223.0;41.23;7.67;5.09;3.36;4.0;50000.0;9.78;8.43;6.01;3.07;3.57;0.71;3.14;8.11;4.35;0.13;0.13
V-368;T-14;C-2694;758413.0;196.8;7.85;3.25;3.5;3.95;406403.0;44.11;7.85;2.62;3.4;3.67;0.71;3.14;8.11;4.35;0.13;0.13
V-39;T-6;C-2695;50000.0;11.21;3.87;5.8;3.39;4.0;293690.0;2.53;5.41;7.27;3.08;3.66;-1.81;3.91;1.76;5.19;0.06;0.16
V-601;T-8;C-2696;819975.0;0.0;7.19;1.64;4.3;3.44;229948.0;26.32;7.34;1.73;4.12;3.12;2.96;-1.56;7.53;1.73;0.03;0.08
V-11;T-10;C-2697;370259.0;23.73;5.42;6.97;3.79;3.48;261463.0;25.23;7.73;7.58;3.63;3.68;0.3;0.02;2.17;5.74;0.32;0.07
V-358;T-12;C-2698;57061.0;17.38;6.89;3.77;3.29;3.7;50000.0;47.97;5.29;1.03;3.59;3.59;0.12;-0.63;8.5;6.2;0.0;0.11
V-377;T-15;C-2699;189792.0;301.2;5.94;2.31;3.28;4.0;166736.0;72.7;2.72;1.98;3.19;3.92;0.26;3.14;8.77;2.53;0.09;0.22
V-270;T-12;C-2700;244514.0;24.46;7.5;5.3;3.17;3.24;209728.0;64.54;7.34;4.22;3.5;3.37;0.12;-0.63;8.5;6.2;0.0;0.11
V-224;T-10;C-2701;562100.0;17.9;5.49;4.61;4.27;3.38;420249.0;16.53;8.54;4.38;3.72;3.54;0.3;0.02;2.17;5.74;0.32;0.07
V-400;T-3;C-2702;768725.0;96.87;6.39;7.49;3.34;3.2;202839.0;39.47;3.83;7.93;2.88;3.11;2.74;1.31;8.27;7.23;0.26;0.13
V-68;T-13;C-2703;690669.0;0.0;4.6;7.48;3.95;3.75;338951.0;36.17;5.46;7.51;3.76;3.24;1.15;-2.01;3.84;7.61;0.12;0.4
V-98;T-9;C-2704;173894.0;20.56;5.35;4.3;3.41;4.0;82958.0;10.41;3.95;3.66;3.34;3.96;1.21;0.8;6.51;5.35;0.25;0.14
V-643;T-6;C-2705;50000.0;320.98;1.57;3.2;3.2;3.8;50000.0;61.71;1.45;1.72;3.08;3.68;-1.81;3.91;1.76;5.19;0.06;0.16
V-370;T-11;C-2706;50000.0;175.35;6.57;7.87;3.77;3.19;50000.0;36.38;7.32;6.88;3.67;3.2;-0.75;3.81;6.49;8.09;-0.02;0.07
V-202;T-8;C-2707;228496.0;0.0;6.35;2.39;3.89;3.6;63793.0;0.0;5.42;3.26;3.52;3.87;2.96;-1.56;7.53;1.73;0.03;0.08
V-6;T-9;C-2708;500896.0;126.56;5.48;7.11;3.6;4.0;244569.0;72.48;4.47;8.26;3.44;3.78;1.21;0.8;6.51;5.35;0.25;0.14
V-642;T-11;C-2709;50460.0;178.92;7.27;7.69;2.7;3.45;206062.0;35.91;7.43;7.83;2.74;3.34;-0.75;3.81;6.49;8.09;-0.02;0.07
V-468;T-3;C-2710;607687.0;13.97;6.27;6.2;2.83;3.68;171619.0;6.24;3.73;5.74;2.58;3.63;2.74;1.31;8.27;7.23;0.26;0.13
V-56;T-7;C-2711;50000.0;184.38;5.03;5.56;3.24;3.99;148412.0;82.1;3.1;7.52;2.95;4.0;-1.12;1.07;6.13;3.79;0.46;0.13
V-370;T-8;C-2712;215939.0;0.0;6.72;4.17;3.57;2.99;50000.0;36.38;7.32;6.88;3.67;3.2;2.96;-1.56;7.53;1.73;0.03;0.08
V-7;T-15;C-2713;67785.0;0.0;7.67;5.07;2.82;3.9;50000.0;0.0;7.31;7.27;2.99;4.0;0.26;3.14;8.77;2.53;0.09;0.22
V-74;T-15;C-2714;61436.0;186.47;6.11;4.11;3.43;4.0;50000.0;43.52;3.82;5.67;3.65;4.0;0.26;3.14;8.77;2.53;0.09;0.22
V-384;T-6;C-2715;50000.0;55.07;1.78;3.11;3.34;3.64;328283.0;10.37;1.92;1.63;2.98;3.78;-1.81;3.91;1.76;5.19;0.06;0.16
V-89;T-1;C-2716;77981.0;6.85;3.58;5.25;3.13;3.65;50000.0;37.93;4.16;5.39;3.42;3.52;0.63;-0.82;3.77;6.26;-0.05;0.11
V-448;T-12;C-2717;631716.0;12.57;6.7;7.77;3.4;3.53;529394.0;32.25;5.4;8.2;3.17;3.62;0.12;-0.63;8.5;6.2;0.0;0.11
V-322;T-3;C-2718;1082925.0;49.64;5.03;6.54;3.51;3.44;267552.0;22.72;1.88;6.84;3.26;3.56;2.74;1.31;8.27;7.23;0.26;0.13
V-569;T-13;C-2719;882939.0;0.0;3.81;6.77;2.76;2.89;417168.0;55.01;3.62;6.52;2.73;2.8;1.15;-2.01;3.84;7.61;0.12;0.4
V-456;T-6;C-2720;50000.0;208.57;2.69;3.25;3.43;3.55;399036.0;43.52;3.88;1.76;3.69;3.48;-1.81;3.91;1.76;5.19;0.06;0.16
V-443;T-2;C-2721;50000.0;113.94;3.47;3.86;4.08;3.97;50000.0;43.55;3.32;6.15;3.78;3.76;-0.55;1.58;3.15;1.45;0.32;0.02
V-508;T-15;C-2722;138601.0;61.0;7.97;3.78;4.18;4.0;104048.0;13.73;5.97;5.36;3.93;3.84;0.26;3.14;8.77;2.53;0.09;0.22
V-609;T-6;C-2723;50000.0;205.13;2.28;5.35;2.82;3.31;242987.0;45.66;3.16;4.61;2.96;3.37;-1.81;3.91;1.76;5.19;0.06;0.16
V-439;T-3;C-2724;340452.0;139.45;7.78;5.7;3.27;3.17;86793.0;55.41;8.9;4.8;3.16;3.21;2.74;1.31;8.27;7.23;0.26;0.13
V-89;T-13;C-2725;117784.0;0.0;3.93;6.27;3.66;3.62;50000.0;37.93;4.16;5.39;3.42;3.52;1.15;-2.01;3.84;7.61;0.12;0.4
V-612;T-4;C-2726;134696.0;8.18;4.89;3.18;4.56;3.55;185814.0;24.29;2.5;3.19;4.35;3.68;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-459;T-4;C-2727;129955.0;9.19;7.26;4.05;4.31;2.94;199203.0;27.44;6.14;5.59;3.47;3.24;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-78;T-10;C-2728;400660.0;53.97;5.04;6.09;3.18;2.93;288459.0;49.43;8.19;6.86;2.68;3.01;0.3;0.02;2.17;5.74;0.32;0.07
V-535;T-5;C-2729;50000.0;70.34;1.95;5.27;3.12;3.08;97131.0;27.92;1.51;1.28;3.24;3.38;-2.31;1.68;2.5;8.56;0.15;0.03
V-461;T-10;C-2730;282621.0;29.04;4.19;4.93;4.53;3.49;240415.0;28.42;6.71;4.1;3.86;3.14;0.3;0.02;2.17;5.74;0.32;0.07
V-613;T-5;C-2731;50000.0;46.88;5.89;5.2;4.67;4.0;84831.0;15.92;8.44;2.64;4.24;3.89;-2.31;1.68;2.5;8.56;0.15;0.03
V-479;T-14;C-2732;218383.0;90.98;6.87;2.57;3.57;2.96;138903.0;23.35;5.62;1.17;3.45;2.8;0.71;3.14;8.11;4.35;0.13;0.13
V-164;T-10;C-2733;690643.0;37.04;2.9;5.4;3.27;3.62;510397.0;38.87;3.71;4.56;3.29;3.25;0.3;0.02;2.17;5.74;0.32;0.07
V-506;T-8;C-2734;888120.0;0.0;5.63;3.89;4.25;3.1;228397.0;3.67;4.31;6.18;3.93;3.25;2.96;-1.56;7.53;1.73;0.03;0.08
V-655;T-12;C-2735;298000.0;0.0;6.57;5.4;4.04;3.72;273003.0;0.0;3.62;4.46;4.27;3.42;0.12;-0.63;8.5;6.2;0.0;0.11
V-1;T-4;C-2736;186084.0;10.15;4.69;3.29;3.94;4.0;257466.0;24.96;1.6;3.83;3.49;4.0;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-213;T-11;C-2737;50000.0;143.66;6.89;7.55;2.76;4.0;54829.0;30.43;8.77;8.5;2.75;4.0;-0.75;3.81;6.49;8.09;-0.02;0.07
V-325;T-14;C-2738;134994.0;139.3;8.17;5.08;4.55;4.0;85976.0;31.68;8.1;5.35;4.09;4.0;0.71;3.14;8.11;4.35;0.13;0.13
V-280;T-14;C-2739;695736.0;73.34;7.72;4.58;3.66;4.0;403033.0;17.11;7.09;4.37;3.25;3.64;0.71;3.14;8.11;4.35;0.13;0.13
V-340;T-1;C-2740;560009.0;6.48;5.12;7.9;2.59;3.77;336141.0;35.66;6.52;8.27;2.77;4.0;0.63;-0.82;3.77;6.26;-0.05;0.11
V-439;T-2;C-2741;50000.0;142.4;5.99;2.92;3.41;3.37;86793.0;55.41;8.9;4.8;3.16;3.21;-0.55;1.58;3.15;1.45;0.32;0.02
V-519;T-3;C-2742;482410.0;42.92;6.59;7.57;3.23;3.13;132874.0;18.07;4.08;7.24;2.93;2.92;2.74;1.31;8.27;7.23;0.26;0.13
V-601;T-9;C-2743;536907.0;51.27;7.46;3.74;3.99;3.01;229948.0;26.32;7.34;1.73;4.12;3.12;1.21;0.8;6.51;5.35;0.25;0.14
V-335;T-2;C-2744;50000.0;62.86;5.7;1.38;4.21;3.49;50000.0;24.42;7.95;1.53;3.8;3.72;-0.55;1.58;3.15;1.45;0.32;0.02
V-274;T-10;C-2745;142034.0;16.98;2.35;5.17;4.01;3.12;102378.0;16.87;3.02;4.98;3.55;3.18;0.3;0.02;2.17;5.74;0.32;0.07
V-101;T-8;C-2746;1310881.0;0.0;7.82;4.83;4.02;4.0;365362.0;28.65;6.98;8.35;3.74;4.0;2.96;-1.56;7.53;1.73;0.03;0.08
V-462;T-13;C-2747;278752.0;0.0;5.05;4.39;3.85;3.93;138176.0;47.65;6.4;1.91;3.64;3.62;1.15;-2.01;3.84;7.61;0.12;0.4
V-566;T-9;C-2748;349585.0;53.48;4.74;3.17;3.17;3.86;152812.0;30.96;3.6;1.62;3.0;3.54;1.21;0.8;6.51;5.35;0.25;0.14
